,id,Class,Classifier,K-Means,DBSCAN
132,sample_53,PRAD,unknown,PRAD,PRAD
133,sample_54,COAD,unknown,COAD,COAD
134,sample_57,COAD,unknown,COAD,COAD
135,sample_64,PRAD,unknown,PRAD,PRAD
136,sample_65,COAD,unknown,COAD,COAD
137,sample_67,PRAD,unknown,PRAD,PRAD
138,sample_78,PRAD,unknown,PRAD,PRAD
139,sample_79,COAD,unknown,COAD,COAD
140,sample_81,PRAD,unknown,PRAD,PRAD
141,sample_84,PRAD,unknown,PRAD,PRAD
142,sample_85,PRAD,unknown,PRAD,PRAD
143,sample_90,PRAD,unknown,PRAD,PRAD
144,sample_91,PRAD,unknown,PRAD,PRAD
145,sample_95,PRAD,unknown,PRAD,PRAD
146,sample_96,COAD,unknown,COAD,COAD
147,sample_98,PRAD,unknown,PRAD,PRAD
148,sample_107,COAD,unknown,COAD,COAD
149,sample_110,PRAD,unknown,PRAD,PRAD
150,sample_113,PRAD,unknown,PRAD,PRAD
151,sample_124,PRAD,unknown,PRAD,PRAD
152,sample_125,PRAD,unknown,PRAD,PRAD
153,sample_126,PRAD,unknown,PRAD,PRAD
154,sample_130,COAD,unknown,COAD,COAD
155,sample_132,COAD,unknown,COAD,COAD
156,sample_139,COAD,unknown,COAD,COAD
157,sample_141,PRAD,unknown,PRAD,PRAD
158,sample_145,COAD,unknown,COAD,COAD
159,sample_146,PRAD,unknown,PRAD,PRAD
160,sample_157,PRAD,unknown,PRAD,PRAD
161,sample_158,PRAD,unknown,PRAD,PRAD
162,sample_160,PRAD,unknown,PRAD,PRAD
163,sample_164,PRAD,unknown,PRAD,noise
164,sample_166,COAD,unknown,COAD,COAD
165,sample_177,PRAD,BRCA,BRCA,BRCA
166,sample_180,COAD,unknown,COAD,COAD
167,sample_183,PRAD,unknown,PRAD,PRAD
168,sample_184,PRAD,unknown,PRAD,PRAD
169,sample_185,PRAD,unknown,PRAD,PRAD
170,sample_193,PRAD,unknown,PRAD,PRAD
171,sample_205,PRAD,unknown,PRAD,PRAD
172,sample_207,PRAD,unknown,PRAD,PRAD
173,sample_212,PRAD,unknown,PRAD,PRAD
174,sample_214,PRAD,unknown,PRAD,PRAD
175,sample_227,PRAD,unknown,PRAD,PRAD
176,sample_231,PRAD,unknown,PRAD,PRAD
177,sample_232,COAD,unknown,COAD,COAD
178,sample_235,PRAD,unknown,PRAD,PRAD
179,sample_237,COAD,unknown,COAD,COAD
180,sample_242,PRAD,unknown,PRAD,PRAD
181,sample_243,PRAD,BRCA,BRCA,BRCA
182,sample_249,COAD,unknown,COAD,COAD
183,sample_251,PRAD,unknown,PRAD,PRAD
184,sample_252,COAD,unknown,COAD,COAD
185,sample_254,PRAD,unknown,PRAD,PRAD
186,sample_256,PRAD,unknown,PRAD,PRAD
187,sample_257,PRAD,unknown,PRAD,PRAD
188,sample_258,PRAD,unknown,PRAD,PRAD
189,sample_260,COAD,unknown,COAD,COAD
190,sample_261,COAD,unknown,COAD,COAD
191,sample_263,COAD,unknown,COAD,COAD
192,sample_264,COAD,unknown,COAD,COAD
193,sample_265,PRAD,unknown,PRAD,PRAD
194,sample_272,COAD,unknown,COAD,COAD
195,sample_273,PRAD,unknown,PRAD,PRAD
196,sample_275,PRAD,BRCA,BRCA,BRCA
197,sample_299,PRAD,unknown,PRAD,PRAD
198,sample_302,COAD,unknown,COAD,COAD
199,sample_304,PRAD,unknown,PRAD,PRAD
200,sample_308,COAD,unknown,COAD,COAD
201,sample_310,PRAD,unknown,PRAD,PRAD
202,sample_312,COAD,unknown,COAD,COAD
203,sample_315,PRAD,unknown,PRAD,PRAD
204,sample_321,COAD,unknown,COAD,COAD
205,sample_330,PRAD,unknown,PRAD,PRAD
206,sample_335,PRAD,unknown,PRAD,PRAD
207,sample_338,PRAD,unknown,PRAD,PRAD
208,sample_339,COAD,unknown,COAD,COAD
209,sample_348,PRAD,unknown,PRAD,PRAD
210,sample_353,COAD,unknown,COAD,COAD
211,sample_354,COAD,unknown,COAD,COAD
212,sample_361,COAD,unknown,COAD,COAD
213,sample_363,COAD,unknown,COAD,COAD
214,sample_365,PRAD,unknown,PRAD,PRAD
215,sample_371,COAD,unknown,COAD,COAD
216,sample_372,PRAD,unknown,PRAD,PRAD
217,sample_374,PRAD,unknown,PRAD,PRAD
218,sample_377,PRAD,unknown,PRAD,PRAD
219,sample_379,COAD,unknown,COAD,COAD
220,sample_382,COAD,unknown,COAD,COAD
221,sample_383,COAD,unknown,COAD,COAD
222,sample_384,PRAD,unknown,PRAD,PRAD
223,sample_387,COAD,unknown,COAD,COAD
224,sample_390,PRAD,unknown,PRAD,PRAD
225,sample_400,COAD,unknown,COAD,COAD
226,sample_401,PRAD,unknown,PRAD,PRAD
227,sample_404,PRAD,unknown,PRAD,PRAD
228,sample_411,PRAD,unknown,PRAD,PRAD
229,sample_413,PRAD,unknown,PRAD,PRAD
230,sample_414,COAD,unknown,COAD,COAD
231,sample_425,PRAD,unknown,PRAD,PRAD
232,sample_427,PRAD,BRCA,BRCA,BRCA
233,sample_431,COAD,unknown,COAD,COAD
234,sample_433,PRAD,unknown,PRAD,PRAD
235,sample_443,PRAD,unknown,PRAD,PRAD
236,sample_444,COAD,unknown,COAD,COAD
237,sample_448,PRAD,unknown,PRAD,PRAD
238,sample_450,PRAD,unknown,PRAD,PRAD
239,sample_464,COAD,unknown,COAD,COAD
240,sample_465,PRAD,unknown,PRAD,PRAD
241,sample_466,COAD,unknown,COAD,COAD
242,sample_471,PRAD,unknown,PRAD,PRAD
243,sample_473,COAD,unknown,COAD,COAD
244,sample_477,PRAD,unknown,PRAD,PRAD
245,sample_478,PRAD,unknown,PRAD,PRAD
246,sample_480,PRAD,unknown,PRAD,PRAD
247,sample_483,PRAD,unknown,PRAD,PRAD
248,sample_486,PRAD,unknown,PRAD,PRAD
249,sample_490,COAD,unknown,COAD,COAD
250,sample_493,COAD,unknown,COAD,COAD
251,sample_496,PRAD,unknown,PRAD,PRAD
252,sample_499,PRAD,unknown,PRAD,PRAD
253,sample_501,COAD,unknown,COAD,COAD
254,sample_503,COAD,unknown,COAD,COAD
255,sample_510,COAD,unknown,COAD,COAD
256,sample_517,PRAD,unknown,PRAD,PRAD
257,sample_519,PRAD,unknown,PRAD,PRAD
258,sample_525,PRAD,unknown,PRAD,PRAD
259,sample_526,PRAD,unknown,PRAD,PRAD
260,sample_530,COAD,unknown,COAD,COAD
261,sample_531,COAD,unknown,COAD,COAD
262,sample_537,PRAD,unknown,PRAD,PRAD
263,sample_539,COAD,unknown,COAD,COAD
264,sample_542,COAD,unknown,COAD,COAD
265,sample_548,PRAD,unknown,PRAD,PRAD
266,sample_553,COAD,unknown,COAD,COAD
267,sample_557,PRAD,unknown,PRAD,PRAD
268,sample_561,COAD,unknown,COAD,COAD
269,sample_565,PRAD,unknown,PRAD,PRAD
270,sample_570,COAD,unknown,COAD,COAD
271,sample_571,PRAD,unknown,PRAD,PRAD
272,sample_579,PRAD,unknown,PRAD,PRAD
273,sample_584,PRAD,unknown,PRAD,PRAD
274,sample_585,COAD,unknown,COAD,COAD
275,sample_587,PRAD,unknown,PRAD,PRAD
276,sample_588,COAD,unknown,COAD,COAD
277,sample_590,COAD,unknown,COAD,COAD
278,sample_597,COAD,unknown,COAD,COAD
279,sample_600,PRAD,unknown,PRAD,PRAD
280,sample_601,PRAD,unknown,PRAD,PRAD
281,sample_607,COAD,unknown,COAD,COAD
282,sample_609,PRAD,unknown,PRAD,PRAD
283,sample_610,PRAD,unknown,PRAD,PRAD
284,sample_613,COAD,unknown,COAD,COAD
285,sample_618,COAD,unknown,COAD,COAD
286,sample_620,PRAD,BRCA,BRCA,BRCA
287,sample_624,PRAD,unknown,PRAD,PRAD
288,sample_634,COAD,unknown,COAD,COAD
289,sample_640,PRAD,unknown,PRAD,PRAD
290,sample_650,COAD,unknown,COAD,COAD
291,sample_652,COAD,unknown,COAD,COAD
292,sample_656,PRAD,unknown,PRAD,PRAD
293,sample_657,PRAD,unknown,PRAD,PRAD
294,sample_658,PRAD,unknown,PRAD,PRAD
295,sample_660,PRAD,unknown,PRAD,PRAD
296,sample_661,PRAD,unknown,PRAD,PRAD
297,sample_662,COAD,unknown,COAD,COAD
298,sample_665,COAD,unknown,COAD,COAD
299,sample_670,COAD,unknown,COAD,COAD
300,sample_674,PRAD,unknown,PRAD,PRAD
301,sample_678,PRAD,unknown,PRAD,PRAD
302,sample_680,PRAD,unknown,PRAD,PRAD
303,sample_684,PRAD,unknown,PRAD,PRAD
304,sample_686,PRAD,BRCA,BRCA,BRCA
305,sample_687,PRAD,unknown,PRAD,PRAD
306,sample_690,PRAD,unknown,PRAD,PRAD
307,sample_692,COAD,unknown,COAD,COAD
308,sample_693,COAD,unknown,COAD,COAD
309,sample_704,PRAD,unknown,PRAD,PRAD
310,sample_707,PRAD,unknown,PRAD,PRAD
311,sample_709,PRAD,unknown,PRAD,PRAD
312,sample_713,COAD,BRCA,BRCA,BRCA
313,sample_714,PRAD,unknown,PRAD,PRAD
314,sample_715,PRAD,unknown,PRAD,PRAD
315,sample_717,PRAD,BRCA,BRCA,BRCA
316,sample_731,PRAD,unknown,PRAD,PRAD
317,sample_732,COAD,unknown,COAD,COAD
318,sample_741,PRAD,BRCA,BRCA,BRCA
319,sample_743,PRAD,unknown,PRAD,PRAD
320,sample_745,COAD,unknown,COAD,COAD
321,sample_752,PRAD,unknown,PRAD,PRAD
322,sample_754,PRAD,unknown,PRAD,PRAD
323,sample_755,COAD,LUAD,LUAD,LUAD
324,sample_766,COAD,unknown,COAD,COAD
325,sample_767,COAD,unknown,COAD,COAD
326,sample_783,PRAD,unknown,PRAD,PRAD
327,sample_788,PRAD,unknown,PRAD,PRAD
328,sample_794,PRAD,unknown,PRAD,PRAD
329,sample_798,COAD,unknown,COAD,noise
330,sample_799,PRAD,unknown,PRAD,PRAD
331,sample_800,PRAD,BRCA,BRCA,BRCA
